fecha,udis
15/09/2022,7.502852
16/09/2022,7.504464
17/09/2022,7.506076
18/09/2022,7.507689
19/09/2022,7.509303
20/09/2022,7.510916
21/09/2022,7.51253
22/09/2022,7.514144
23/09/2022,7.515759
24/09/2022,7.517374
25/09/2022,7.518989
26/09/2022,7.521027
27/09/2022,7.523065
28/09/2022,7.525104
29/09/2022,7.527143
30/09/2022,7.529183
01/10/2022,7.531223
02/10/2022,7.533264
03/10/2022,7.535305
04/10/2022,7.537347
05/10/2022,7.53939
06/10/2022,7.541433
07/10/2022,7.543476
08/10/2022,7.545521
09/10/2022,7.547565
10/10/2022,7.549611
11/10/2022,7.550128
12/10/2022,7.550645
13/10/2022,7.551162
14/10/2022,7.55168
15/10/2022,7.552197
16/10/2022,7.552714
17/10/2022,7.553232
18/10/2022,7.553749
19/10/2022,7.554266
20/10/2022,7.554784
21/10/2022,7.555302
22/10/2022,7.555819
23/10/2022,7.556337
24/10/2022,7.556854
25/10/2022,7.557372
26/10/2022,7.559441
27/10/2022,7.56151
28/10/2022,7.56358
29/10/2022,7.56565
30/10/2022,7.567721
31/10/2022,7.569793
01/11/2022,7.571865
02/11/2022,7.573938
03/11/2022,7.576011
04/11/2022,7.578085
05/11/2022,7.580159
06/11/2022,7.582234
07/11/2022,7.58431
08/11/2022,7.586386
09/11/2022,7.588463
10/11/2022,7.59054
11/11/2022,7.591303
12/11/2022,7.592067
13/11/2022,7.592831
14/11/2022,7.593594
15/11/2022,7.594358
16/11/2022,7.595122
17/11/2022,7.595886
18/11/2022,7.59665
19/11/2022,7.597414
20/11/2022,7.598178
21/11/2022,7.598942
22/11/2022,7.599707
23/11/2022,7.600471
24/11/2022,7.601236
25/11/2022,7.602
26/11/2022,7.604814
27/11/2022,7.60763
28/11/2022,7.610446
29/11/2022,7.613264
30/11/2022,7.616082
01/12/2022,7.618902
02/12/2022,7.621722
03/12/2022,7.624544
04/12/2022,7.627366
05/12/2022,7.63019
06/12/2022,7.633015
07/12/2022,7.63584
08/12/2022,7.638667
09/12/2022,7.641495
10/12/2022,7.644324
11/12/2022,7.643746
12/12/2022,7.643167
13/12/2022,7.642589
14/12/2022,7.642011
15/12/2022,7.641433
16/12/2022,7.640855
17/12/2022,7.640276
18/12/2022,7.639698
19/12/2022,7.63912
20/12/2022,7.638542
21/12/2022,7.637964
22/12/2022,7.637387
23/12/2022,7.636809
24/12/2022,7.636231
25/12/2022,7.635653
26/12/2022,7.637511
27/12/2022,7.639368
28/12/2022,7.641227
29/12/2022,7.643085
30/12/2022,7.644945
31/12/2022,7.646804
01/01/2023,7.648664
02/01/2023,7.650525
03/01/2023,7.652386
04/01/2023,7.654247
05/01/2023,7.656109
06/01/2023,7.657971
07/01/2023,7.659834
08/01/2023,7.661698
09/01/2023,7.663561
10/01/2023,7.665425
11/01/2023,7.665918
12/01/2023,7.666411
13/01/2023,7.666904
14/01/2023,7.667397
15/01/2023,7.667891
16/01/2023,7.668384
17/01/2023,7.668877
18/01/2023,7.66937
19/01/2023,7.669863
20/01/2023,7.670356
21/01/2023,7.67085
22/01/2023,7.671343
23/01/2023,7.671836
24/01/2023,7.67233
25/01/2023,7.672823
26/01/2023,7.675005
27/01/2023,7.677188
28/01/2023,7.679371
29/01/2023,7.681555
30/01/2023,7.683739
31/01/2023,7.685924
01/02/2023,7.68811
02/02/2023,7.690297
03/02/2023,7.692484
04/02/2023,7.694671
05/02/2023,7.696859
06/02/2023,7.699048
07/02/2023,7.701238
08/02/2023,7.703428
09/02/2023,7.705619
10/02/2023,7.70781
11/02/2023,7.709586
12/02/2023,7.711362
13/02/2023,7.713139
14/02/2023,7.714916
15/02/2023,7.716693
16/02/2023,7.718471
17/02/2023,7.720249
18/02/2023,7.722028
19/02/2023,7.723807
20/02/2023,7.725586
21/02/2023,7.727366
22/02/2023,7.729147
23/02/2023,7.730927
24/02/2023,7.732708
25/02/2023,7.73449
26/02/2023,7.736288
27/02/2023,7.738086
28/02/2023,7.739885
01/03/2023,7.741684
02/03/2023,7.743484
03/03/2023,7.745284
